Time,Cod,Saithe,Haddock,Other_Codfish,Herring
1956,1989261.166,NA,NA,NA,NA
1957,1810371.488,NA,NA,NA,NA
1958,1686371.892,NA,NA,NA,NA
1959,1741681.547,NA,NA,NA,NA
1960,1681511.021,NA,NA,NA,NA
1961,1526707.308,NA,NA,NA,NA
1962,1181686.864,NA,NA,NA,NA
1963,1283698.349,NA,NA,NA,NA
1964,1219352.688,NA,NA,NA,NA
1965,1138349.636,NA,NA,NA,NA
1966,905102.882,NA,NA,NA,NA
1967,955102.482,NA,NA,NA,NA
1968,1004597.022,NA,NA,NA,NA
1969,1015056.207,NA,NA,NA,NA
1970,1146385.818,NA,NA,NA,NA
1971,1092618.951,NA,NA,NA,NA
1972,914751.084,NA,NA,NA,NA
1973,825026.615,NA,NA,NA,NA
1974,764147.512,NA,NA,NA,NA
1975,786227.744,NA,NA,NA,NA
1976,836835.587,NA,NA,NA,NA
1977,962984.125,NA,NA,NA,NA
1978,1065659.491,NA,NA,NA,NA
1979,1176734.831,NA,NA,NA,NA
1980,1280620.697,NA,179988.85,66340.39057,NA
1981,1278288.605,266312.28,192664.378,66235.04919,NA
1982,1039179.8,266524.91,199446.232,64960.56469,NA
1983,809180.992,262995.774,177426.745,62563.72526,NA
1984,701961.935,252701.44,142153.818,61165.25584,NA
1985,775546.283,258323.916,114271.348,52711.8933,NA
1986,738781.56,301138.726,116292.042,53346.60097,NA
1987,939405.656,341619.547,124385.414,60240.76265,NA
1988,879147.398,363643.331,131546.142,56245.237,504470.476
1989,853007.469,382035.099,168319.569,62008.54157,495164.022
1990,828602.496,356920.876,174367.979,59884.88258,459416.793
1991,759088.884,358354.099,149884.606,74268.934,409647.971
1992,646270.726,310704.661,140947.702,47684.608,423657.79
1993,535039.591,271032.379,134626.253,51099.3892,502316.749
1994,525074.782,229946.023,140368.457,39486.407,545694.063
1995,545206.696,214592.278,142917.971,40386.424,553134.907
1996,566346.735,176827.169,139184.02,40786.568,461895.804
1997,618936.183,155605.264,117960.553,46467.645,347449.305
1998,671796.467,143103.017,106621.868,41902.697,367845.446
1999,669494.164,135899.959,99699.655,41340.724,366302.239
2000,622003.095,151807.967,103155.04,42409.627,372438.727
2001,595465.624,169506.502,115405.799,42843.302,386089.315
2002,600989.577,220509.131,147712.974,45642.178,347253.976
2003,641071.976,257523.605,204988.752,53025.599,511518.741
2004,662475.208,275928.538,244832.741,64974.102,577851.667
2005,658709.149,326768.072,302656.846,74667.057,613526.968
2006,623515.251,334062.299,320233.86,82948.223,703447.148
2007,609336.175,315949.114,308047.926,85493.972,782465.909
2008,582102.044,289122.032,300119.181,92905.875,695752.139
2009,599224.643,281970.918,259187.278,100816.617,680110.28
2010,630138.292,268378.045,210060.811,100928.744,621987.605
2011,679302.332,267226.898,174011.427,90761.952,602160.245
2012,811735.919,252186.273,156008.8,88545.947,570537.357
2013,915088.044,248012.038,148911.398,93017.148,527704.522
2014,974364.056,245354.424,145140.048,90628.158,468813.896
2015,951160.722,245656.764,138844.203,90856.945,468140.205
2016,1079347.089,281435.11,145530.292,78384.449,411158.602
2017,1061899.627,283369.396,143431.986,82508.151,406860.983
2018,1177623.286,296912.484,155075.905,76292.471,387244.542
2019,1167992.04,309234.438,172607.65,77226.439,389965.795
2020,1137589.089,306828.832,171470.543,77172.055,358770.847
