Time,Fishery,Group,biomass,source
1948,bottom trawl,Cod,293334,MRI
1949,bottom trawl,Cod,314554,MRI
1950,bottom trawl,Cod,321450,MRI
1951,bottom trawl,Cod,326939,MRI
1952,bottom trawl,Cod,391930,MRI
1953,bottom trawl,Cod,515211,MRI
1954,bottom trawl,Cod,546252,MRI
1955,bottom trawl,Cod,536768,MRI
1956,bottom trawl,Cod,482164,MRI
1957,bottom trawl,Cod,453036,MRI
1958,bottom trawl,Cod,510514,MRI
1959,bottom trawl,Cod,454225,MRI
1960,bottom trawl,Cod,465023,MRI
1961,bottom trawl,Cod,375898,MRI
1962,bottom trawl,Cod,386956,MRI
1963,bottom trawl,Cod,410274,MRI
1964,bottom trawl,Cod,434992,MRI
1965,bottom trawl,Cod,394047,MRI
1966,bottom trawl,Cod,369124,MRI
1967,bottom trawl,Cod,356956,MRI
1968,bottom trawl,Cod,387600,MRI
1969,bottom trawl,Cod,410497,MRI
1970,bottom trawl,Cod,478977,MRI
1971,bottom trawl,Cod,458326,MRI
1972,bottom trawl,Cod,406418,MRI
1973,bottom trawl,Cod,386990,MRI
1974,bottom trawl,Cod,384499,MRI
1975,bottom trawl,Cod,382127,MRI
1976,bottom trawl,Cod,358976,MRI
1977,bottom trawl,Cod,352204,MRI
1978,bottom trawl,Cod,339616,MRI
1979,bottom trawl,Cod,381527,MRI
1980,bottom trawl,Cod,452078,MRI
1981,bottom trawl,Cod,488028,MRI
1982,bottom trawl,Cod,388416,MRI
1983,bottom trawl,Cod,298842,MRI
1984,bottom trawl,Cod,284082,MRI
1985,bottom trawl,Cod,325210,MRI
1986,bottom trawl,Cod,368702,MRI
1987,bottom trawl,Cod,393469,MRI
1988,bottom trawl,Cod,382967,MRI
1989,bottom trawl,Cod,356520,MRI
1990,bottom trawl,Cod,335913,MRI
1991,bottom trawl,Cod,308757,MRI
1992,bottom trawl,Cod,267689,MRI
1993,bottom trawl,Cod,258668,MRI
1994,bottom trawl,Cod,190917,MRI
1995,bottom trawl,Cod,178037,MRI
1996,bottom trawl,Cod,194198,MRI
1997,bottom trawl,Cod,211497,MRI
1998,bottom trawl,Cod,252430,MRI
1999,bottom trawl,Cod,264902,MRI
1948,longline,Haddock,51905,MRI
1949,longline,Haddock,66537,MRI
1950,longline,Haddock,60373,MRI
1951,longline,Haddock,54351,MRI
1952,longline,Haddock,44952,MRI
1953,longline,Haddock,53295,MRI
1954,longline,Haddock,62056,MRI
1955,longline,Haddock,64341,MRI
1956,longline,Haddock,61898,MRI
1957,longline,Haddock,76413,MRI
1958,longline,Haddock,70152,MRI
1959,longline,Haddock,63699,MRI
1960,longline,Haddock,86427,MRI
1961,longline,Haddock,108344,MRI
1962,longline,Haddock,119603,MRI
1963,longline,Haddock,102562,MRI
1964,longline,Haddock,99247,MRI
1965,longline,Haddock,61649,MRI
1966,longline,Haddock,60834,MRI
1967,longline,Haddock,61146,MRI
1968,longline,Haddock,51434,MRI
1969,longline,Haddock,46422,MRI
1970,longline,Haddock,44753,MRI
1971,longline,Haddock,46224,MRI
1972,longline,Haddock,40287,MRI
1973,longline,Haddock,47070,MRI
1974,longline,Haddock,44179,MRI
1975,longline,Haddock,47578,MRI
1976,longline,Haddock,44185,MRI
1977,longline,Haddock,41828,MRI
1978,longline,Haddock,46849,MRI
1979,longline,Haddock,59332,MRI
1980,longline,Haddock,53870,MRI
1981,longline,Haddock,67125,MRI
1982,longline,Haddock,69385,MRI
1983,longline,Haddock,65870,MRI
1984,longline,Haddock,48236,MRI
1985,longline,Haddock,50952,MRI
1986,longline,Haddock,48880,MRI
1987,longline,Haddock,41032,MRI
1988,longline,Haddock,54148,MRI
1989,longline,Haddock,62804,MRI
1990,longline,Haddock,67116,MRI
1991,longline,Haddock,54716,MRI
1992,longline,Haddock,47237,MRI
1993,longline,Haddock,48909,MRI
1994,longline,Haddock,61609,MRI
1995,longline,Haddock,61526,MRI
1996,longline,Haddock,57224,MRI
1997,longline,Haddock,44164,MRI
1998,longline,Haddock,41528,MRI
1999,longline,Haddock,45610,MRI
1948,bottom trawl,Saithe,108740,MRI
1949,bottom trawl,Saithe,84755,MRI
1950,bottom trawl,Saithe,53150,MRI
1951,bottom trawl,Saithe,74096,MRI
1952,bottom trawl,Saithe,88317,MRI
1953,bottom trawl,Saithe,73151,MRI
1954,bottom trawl,Saithe,69629,MRI
1955,bottom trawl,Saithe,47843,MRI
1956,bottom trawl,Saithe,67860,MRI
1957,bottom trawl,Saithe,62061,MRI
1958,bottom trawl,Saithe,53178,MRI
1959,bottom trawl,Saithe,48479,MRI
1960,bottom trawl,Saithe,48039,MRI
1961,bottom trawl,Saithe,49795,MRI
1962,bottom trawl,Saithe,50385,MRI
1963,bottom trawl,Saithe,48449,MRI
1964,bottom trawl,Saithe,60417,MRI
1965,bottom trawl,Saithe,60107,MRI
1966,bottom trawl,Saithe,52644,MRI
1967,bottom trawl,Saithe,76844,MRI
1968,bottom trawl,Saithe,78801,MRI
1969,bottom trawl,Saithe,116601,MRI
1970,bottom trawl,Saithe,116892,MRI
1971,bottom trawl,Saithe,136662,MRI
1972,bottom trawl,Saithe,113089,MRI
1973,bottom trawl,Saithe,113493,MRI
1974,bottom trawl,Saithe,101144,MRI
1975,bottom trawl,Saithe,91034,MRI
1976,bottom trawl,Saithe,83845,MRI
1977,bottom trawl,Saithe,64038,MRI
1978,bottom trawl,Saithe,52636,MRI
1979,bottom trawl,Saithe,67827,MRI
1980,bottom trawl,Saithe,60554,MRI
1981,bottom trawl,Saithe,60695,MRI
1982,bottom trawl,Saithe,68879,MRI
1983,bottom trawl,Saithe,58266,MRI
1984,bottom trawl,Saithe,62725,MRI
1985,bottom trawl,Saithe,57107,MRI
1986,bottom trawl,Saithe,64881,MRI
1987,bottom trawl,Saithe,80509,MRI
1988,bottom trawl,Saithe,77251,MRI
1989,bottom trawl,Saithe,82372,MRI
1990,bottom trawl,Saithe,98081,MRI
1991,bottom trawl,Saithe,102307,MRI
1992,bottom trawl,Saithe,79518,MRI
1993,bottom trawl,Saithe,71138,MRI
1994,bottom trawl,Saithe,64937,MRI
1995,bottom trawl,Saithe,49142,MRI
1996,bottom trawl,Saithe,40652,MRI
1997,bottom trawl,Saithe,37515,MRI
1998,bottom trawl,Saithe,31709,MRI
1999,bottom trawl,Saithe,31648,MRI
1948,gillnet,Redfish,33907,MRI
1949,gillnet,Redfish,61113,MRI
1950,gillnet,Redfish,125911,MRI
1951,gillnet,Redfish,166594,MRI
1952,gillnet,Redfish,126637,MRI
1953,gillnet,Redfish,157643,MRI
1954,gillnet,Redfish,141213,MRI
1955,gillnet,Redfish,110422,MRI
1956,gillnet,Redfish,92924,MRI
1957,gillnet,Redfish,84156,MRI
1958,gillnet,Redfish,90568,MRI
1959,gillnet,Redfish,82393,MRI
1960,gillnet,Redfish,82897,MRI
1961,gillnet,Redfish,69134,MRI
1962,gillnet,Redfish,75943,MRI
1963,gillnet,Redfish,91139,MRI
1964,gillnet,Redfish,96439,MRI
1965,gillnet,Redfish,114191,MRI
1966,gillnet,Redfish,107122,MRI
1967,gillnet,Redfish,95147,MRI
1968,gillnet,Redfish,96574,MRI
1969,gillnet,Redfish,87769,MRI
1970,gillnet,Redfish,78995,MRI
1971,gillnet,Redfish,82393,MRI
1972,gillnet,Redfish,77378,MRI
1973,gillnet,Redfish,69856,MRI
1974,gillnet,Redfish,69565,MRI
1975,gillnet,Redfish,71697,MRI
1976,gillnet,Redfish,69973,MRI
1977,gillnet,Redfish,62292,MRI
1978,gillnet,Redfish,37241,MRI
1979,gillnet,Redfish,69115,MRI
1980,gillnet,Redfish,77169,MRI
1981,gillnet,Redfish,98055,MRI
1982,gillnet,Redfish,118201,MRI
1983,gillnet,Redfish,127921,MRI
1984,gillnet,Redfish,115486,MRI
1985,gillnet,Redfish,101273,MRI
1986,gillnet,Redfish,92971,MRI
1987,gillnet,Redfish,94649,MRI
1988,gillnet,Redfish,99782,MRI
1989,gillnet,Redfish,96261,MRI
1990,gillnet,Redfish,93990,MRI
1991,gillnet,Redfish,117300.083,MRI
1992,gillnet,Redfish,107033.192,MRI
1993,gillnet,Redfish,118341.626,MRI
1994,gillnet,Redfish,113662.083,MRI
1995,gillnet,Redfish,94067.311,MRI
1996,gillnet,Redfish,67908.866,MRI
1997,gillnet,Redfish,73722.94,MRI
1998,gillnet,Redfish,67520.037,MRI
1999,gillnet,Redfish,64794.758,MRI
1972,shrimp,Blue_whiting,1000,MRI
1973,shrimp,Blue_whiting,3000,MRI
1974,shrimp,Blue_whiting,4000,MRI
1975,shrimp,Blue_whiting,1000,MRI
1976,shrimp,Blue_whiting,9000,MRI
1977,shrimp,Blue_whiting,16000,MRI
1978,shrimp,Blue_whiting,35000,MRI
1979,shrimp,Blue_whiting,19000,MRI
1980,shrimp,Blue_whiting,10000,MRI
1981,shrimp,Blue_whiting,15000,MRI
1982,shrimp,Blue_whiting,2000,MRI
1983,shrimp,Blue_whiting,7000,MRI
1989,shrimp,Blue_whiting,5000,MRI
1997,shrimp,Blue_whiting,10000,MRI
1998,shrimp,Blue_whiting,69000,MRI
1999,shrimp,Blue_whiting,160000,MRI
2000,shrimp,Blue_whiting,261000,MRI
2001,shrimp,Blue_whiting,365000,MRI
2002,shrimp,Blue_whiting,286000,MRI
2003,shrimp,Blue_whiting,501000,MRI
2004,shrimp,Blue_whiting,422000,MRI
2005,shrimp,Blue_whiting,266000,MRI
2006,shrimp,Blue_whiting,315000,MRI
2007,shrimp,Blue_whiting,238000,MRI
2008,shrimp,Blue_whiting,164000,MRI
2009,shrimp,Blue_whiting,120000,MRI
2010,shrimp,Blue_whiting,88000,MRI
2011,shrimp,Blue_whiting,6000,MRI
2012,shrimp,Blue_whiting,63000,MRI
2013,shrimp,Blue_whiting,105000,MRI
2014,shrimp,Blue_whiting,183000,MRI
2015,shrimp,Blue_whiting,215000,MRI
2016,shrimp,Blue_whiting,187000,MRI
2017,shrimp,Blue_whiting,229000,MRI
2018,shrimp,Blue_whiting,293000,MRI
2019,shrimp,Blue_whiting,268000,MRI
2020,shrimp,Blue_whiting,244000,MRI
1961,handline,Greenland_Halibut,6274.61054,MRI
1962,handline,Greenland_Halibut,2189.696474,MRI
1963,handline,Greenland_Halibut,3048.177279,MRI
1964,handline,Greenland_Halibut,3385.437596,MRI
1965,handline,Greenland_Halibut,5291.350547,MRI
1966,handline,Greenland_Halibut,5725.582118,MRI
1967,handline,Greenland_Halibut,6869.272493,MRI
1968,handline,Greenland_Halibut,5944.480462,MRI
1969,handline,Greenland_Halibut,18699.76546,MRI
1970,handline,Greenland_Halibut,24776.15534,MRI
1971,handline,Greenland_Halibut,20715.48409,MRI
1972,handline,Greenland_Halibut,18920.80287,MRI
1973,handline,Greenland_Halibut,14621.26861,MRI
1974,handline,Greenland_Halibut,25888.47267,MRI
1975,handline,Greenland_Halibut,16808.82601,MRI
1976,handline,Greenland_Halibut,4342.315703,MRI
1977,handline,Greenland_Halibut,12348.14833,MRI
1978,handline,Greenland_Halibut,10777.35663,MRI
1979,handline,Greenland_Halibut,17641.63795,MRI
1980,handline,Greenland_Halibut,24124.45148,MRI
1981,handline,Greenland_Halibut,14690.43193,MRI
1982,handline,Greenland_Halibut,23203.22457,MRI
1983,handline,Greenland_Halibut,22053.11698,MRI
1984,handline,Greenland_Halibut,24269.90836,MRI
1985,handline,Greenland_Halibut,22899.47637,MRI
1986,handline,Greenland_Halibut,23549.75419,MRI
1987,handline,Greenland_Halibut,33273.26146,MRI
1988,handline,Greenland_Halibut,36203.07677,MRI
1989,handline,Greenland_Halibut,43639.20328,MRI
1990,handline,Greenland_Halibut,27738.76975,MRI
1991,handline,Greenland_Halibut,32962.363,MRI
1992,handline,Greenland_Halibut,30753.268,MRI
1993,handline,Greenland_Halibut,33371.292,MRI
1994,handline,Greenland_Halibut,25448.605,MRI
1995,handline,Greenland_Halibut,26740.548,MRI
1996,handline,Greenland_Halibut,21943.287,MRI
1997,handline,Greenland_Halibut,18896.915,MRI
1998,handline,Greenland_Halibut,10975.915,MRI
1999,handline,Greenland_Halibut,11399.632,MRI
1996,shrimp,Mackerel,92,MRI
1997,shrimp,Mackerel,925,MRI
1998,shrimp,Mackerel,357,MRI
2002,shrimp,Mackerel,53,MRI
2003,shrimp,Mackerel,122,MRI
2005,shrimp,Mackerel,363,MRI
2006,shrimp,Mackerel,4222,MRI
2007,shrimp,Mackerel,36706,MRI
2008,shrimp,Mackerel,112286,MRI
2009,shrimp,Mackerel,116160,MRI
2010,shrimp,Mackerel,121008,MRI
2011,shrimp,Mackerel,159263,MRI
2012,shrimp,Mackerel,149282,MRI
2013,shrimp,Mackerel,151235,MRI
2014,shrimp,Mackerel,173560,MRI
2015,shrimp,Mackerel,169336,MRI
2016,shrimp,Mackerel,172079,MRI
2017,shrimp,Mackerel,167366,MRI
2018,shrimp,Mackerel,168331,MRI
2019,shrimp,Mackerel,128077,MRI
2020,shrimp,Mackerel,151534,MRI
1978,purse seine,Herring,37300,MRI
1979,purse seine,Herring,45100,MRI
1980,purse seine,Herring,53300,MRI
1981,purse seine,Herring,39510,MRI
1982,purse seine,Herring,56500,MRI
1983,purse seine,Herring,58900,MRI
1984,purse seine,Herring,50300,MRI
1985,purse seine,Herring,49400,MRI
1986,purse seine,Herring,65510,MRI
1987,purse seine,Herring,75400,MRI
1988,purse seine,Herring,92800,MRI
1989,purse seine,Herring,101000,MRI
1990,purse seine,Herring,105100,MRI
1991,purse seine,Herring,109500,MRI
1992,purse seine,Herring,108510,MRI
1993,purse seine,Herring,102700,MRI
1994,purse seine,Herring,134000,MRI
1995,purse seine,Herring,125850,MRI
1996,purse seine,Herring,95850,MRI
1997,purse seine,Herring,64930,MRI
1998,purse seine,Herring,87240,MRI
1999,purse seine,Herring,92900,MRI
2000,purse seine,Herring,100330,MRI
2001,purse seine,Herring,101400,MRI
2002,purse seine,Herring,96100,MRI
2003,purse seine,Herring,126000,MRI
2004,purse seine,Herring,115000,MRI
2005,purse seine,Herring,103050,MRI
2006,purse seine,Herring,135310,MRI
2007,purse seine,Herring,158900,MRI
2008,purse seine,Herring,151780,MRI
2009,purse seine,Herring,46000,MRI
2010,purse seine,Herring,43533,MRI
2011,purse seine,Herring,49446,MRI
2012,purse seine,Herring,72236,MRI
2013,purse seine,Herring,72058,MRI
2014,purse seine,Herring,94975,MRI
2015,purse seine,Herring,69729,MRI
2016,purse seine,Herring,60403,MRI
2017,purse seine,Herring,35034,MRI
2018,purse seine,Herring,40683,MRI
2019,purse seine,Herring,30041,MRI
2020,purse seine,Herring,36041,MRI
1948,midwater trawl,Flatfish,9310,MRI
1949,midwater trawl,Flatfish,10572,MRI
1950,midwater trawl,Flatfish,9172,MRI
1951,midwater trawl,Flatfish,8439,MRI
1952,midwater trawl,Flatfish,5578,MRI
1953,midwater trawl,Flatfish,4693,MRI
1954,midwater trawl,Flatfish,5663,MRI
1955,midwater trawl,Flatfish,7733,MRI
1956,midwater trawl,Flatfish,7888,MRI
1957,midwater trawl,Flatfish,9603,MRI
1958,midwater trawl,Flatfish,8163,MRI
1959,midwater trawl,Flatfish,8428,MRI
1960,midwater trawl,Flatfish,8059,MRI
