Time,species,Age,numbers,.id,Ageclass
1955,Cod,1,382172000,Cod1_Nums,Ageclass 1
1955,Cod,2,221163000,Cod2_Nums,Ageclass 2
1955,Cod,3,151014000,Cod3_Nums,Ageclass 3
1955,Cod,4,211538000,Cod4_Nums,Ageclass 4
1955,Cod,5,199652000,Cod5_Nums,Ageclass 5
1955,Cod,6,110948000,Cod6_Nums,Ageclass 6
1955,Cod,7,31896000,Cod7_Nums,Ageclass 7
1955,Cod,8,20440000,Cod8_Nums,Ageclass 8
1955,Cod,9,9573000,Cod9_Nums,Ageclass 9
1955,Cod,10,77118000,Cod10_Nums,Ageclass 10
1955,Cod,11,6371000,Cod11_Nums,Ageclass 11
1955,Cod,12,4707000,Cod12_Nums,Ageclass 12
1955,Cod,13,5492000,Cod13_Nums,Ageclass 13
1955,Cod,14,1820000,Cod14_Nums,Ageclass 14
1956,Cod,1,509117000,Cod1_Nums,Ageclass 1
1956,Cod,2,248412000,Cod2_Nums,Ageclass 2
1956,Cod,3,143756000,Cod3_Nums,Ageclass 3
1956,Cod,4,116170000,Cod4_Nums,Ageclass 4
1956,Cod,5,145110000,Cod5_Nums,Ageclass 5
1956,Cod,6,128590000,Cod6_Nums,Ageclass 6
1956,Cod,7,70710000,Cod7_Nums,Ageclass 7
1956,Cod,8,19158000,Cod8_Nums,Ageclass 8
1956,Cod,9,11538000,Cod9_Nums,Ageclass 9
1956,Cod,10,5182000,Cod10_Nums,Ageclass 10
1956,Cod,11,38312000,Cod11_Nums,Ageclass 11
1956,Cod,12,2976000,Cod12_Nums,Ageclass 12
1956,Cod,13,2277000,Cod13_Nums,Ageclass 13
1956,Cod,14,2656000,Cod14_Nums,Ageclass 14
1957,Cod,1,719863000,Cod1_Nums,Ageclass 1
1957,Cod,2,330926000,Cod2_Nums,Ageclass 2
1957,Cod,3,161468000,Cod3_Nums,Ageclass 3
1957,Cod,4,110617000,Cod4_Nums,Ageclass 4
1957,Cod,5,79752000,Cod5_Nums,Ageclass 5
1957,Cod,6,93561000,Cod6_Nums,Ageclass 6
1957,Cod,7,82045000,Cod7_Nums,Ageclass 7
1957,Cod,8,42528000,Cod8_Nums,Ageclass 8
1957,Cod,9,10832000,Cod9_Nums,Ageclass 9
1957,Cod,10,6257000,Cod10_Nums,Ageclass 10
1957,Cod,11,2580000,Cod11_Nums,Ageclass 11
1957,Cod,12,17940000,Cod12_Nums,Ageclass 12
1957,Cod,13,1443000,Cod13_Nums,Ageclass 13
1957,Cod,14,1104000,Cod14_Nums,Ageclass 14
1958,Cod,1,363678000,Cod1_Nums,Ageclass 1
1958,Cod,2,467911000,Cod2_Nums,Ageclass 2
1958,Cod,3,215102000,Cod3_Nums,Ageclass 3
1958,Cod,4,123338000,Cod4_Nums,Ageclass 4
1958,Cod,5,74376000,Cod5_Nums,Ageclass 5
1958,Cod,6,49990000,Cod6_Nums,Ageclass 6
1958,Cod,7,57962000,Cod7_Nums,Ageclass 7
1958,Cod,8,47580000,Cod8_Nums,Ageclass 8
1958,Cod,9,34750000,Cod9_Nums,Ageclass 9
1958,Cod,10,5595000,Cod10_Nums,Ageclass 10
1958,Cod,11,2938000,Cod11_Nums,Ageclass 11
1958,Cod,12,1131000,Cod12_Nums,Ageclass 12
1958,Cod,13,8175000,Cod13_Nums,Ageclass 13
1958,Cod,14,657000,Cod14_Nums,Ageclass 14
1959,Cod,1,463735000,Cod1_Nums,Ageclass 1
1959,Cod,2,236391000,Cod2_Nums,Ageclass 2
1959,Cod,3,304142000,Cod3_Nums,Ageclass 3
1959,Cod,4,162879000,Cod4_Nums,Ageclass 4
1959,Cod,5,80900000,Cod5_Nums,Ageclass 5
1959,Cod,6,45079000,Cod6_Nums,Ageclass 6
1959,Cod,7,29902000,Cod7_Nums,Ageclass 7
1959,Cod,8,32186000,Cod8_Nums,Ageclass 8
1959,Cod,9,39724000,Cod9_Nums,Ageclass 9
1959,Cod,10,16939000,Cod10_Nums,Ageclass 10
1959,Cod,11,2449000,Cod11_Nums,Ageclass 11
1959,Cod,12,1190000,Cod12_Nums,Ageclass 12
1959,Cod,13,479000,Cod13_Nums,Ageclass 13
1959,Cod,14,3461000,Cod14_Nums,Ageclass 14
1960,Cod,1,296215000,Cod1_Nums,Ageclass 1
1960,Cod,2,301428000,Cod2_Nums,Ageclass 2
1960,Cod,3,153654000,Cod3_Nums,Ageclass 3
1960,Cod,4,232451000,Cod4_Nums,Ageclass 4
1960,Cod,5,109690000,Cod5_Nums,Ageclass 5
1960,Cod,6,50819000,Cod6_Nums,Ageclass 6
1960,Cod,7,27990000,Cod7_Nums,Ageclass 7
1960,Cod,8,17389000,Cod8_Nums,Ageclass 8
1960,Cod,9,17478000,Cod9_Nums,Ageclass 9
1960,Cod,10,31621000,Cod10_Nums,Ageclass 10
1960,Cod,11,7988000,Cod11_Nums,Ageclass 11
1960,Cod,12,1079000,Cod12_Nums,Ageclass 12
1960,Cod,13,545000,Cod13_Nums,Ageclass 13
1960,Cod,14,219000,Cod14_Nums,Ageclass 14
1961,Cod,1,409974000,Cod1_Nums,Ageclass 1
1961,Cod,2,192540000,Cod2_Nums,Ageclass 2
1961,Cod,3,195928000,Cod3_Nums,Ageclass 3
1961,Cod,4,116498000,Cod4_Nums,Ageclass 4
1961,Cod,5,153022000,Cod5_Nums,Ageclass 5
1961,Cod,6,66810000,Cod6_Nums,Ageclass 6
1961,Cod,7,30554000,Cod7_Nums,Ageclass 7
1961,Cod,8,15642000,Cod8_Nums,Ageclass 8
1961,Cod,9,9002000,Cod9_Nums,Ageclass 9
1961,Cod,10,8592000,Cod10_Nums,Ageclass 10
1961,Cod,11,13984000,Cod11_Nums,Ageclass 11
1961,Cod,12,3274000,Cod12_Nums,Ageclass 12
1961,Cod,13,462000,Cod13_Nums,Ageclass 13
1961,Cod,14,233000,Cod14_Nums,Ageclass 14
1962,Cod,1,467626000,Cod1_Nums,Ageclass 1
1962,Cod,2,266483000,Cod2_Nums,Ageclass 2
1962,Cod,3,125151000,Cod3_Nums,Ageclass 3
1962,Cod,4,149270000,Cod4_Nums,Ageclass 4
1962,Cod,5,77752000,Cod5_Nums,Ageclass 5
1962,Cod,6,94957000,Cod6_Nums,Ageclass 6
1962,Cod,7,40957000,Cod7_Nums,Ageclass 7
1962,Cod,8,17490000,Cod8_Nums,Ageclass 8
1962,Cod,9,25151000,Cod9_Nums,Ageclass 9
1962,Cod,10,4570000,Cod10_Nums,Ageclass 10
1962,Cod,11,3950000,Cod11_Nums,Ageclass 11
1962,Cod,12,5988000,Cod12_Nums,Ageclass 12
1962,Cod,13,1460000,Cod13_Nums,Ageclass 13
1962,Cod,14,206000,Cod14_Nums,Ageclass 14
1963,Cod,1,519789000,Cod1_Nums,Ageclass 1
1963,Cod,2,303957000,Cod2_Nums,Ageclass 2
1963,Cod,3,173214000,Cod3_Nums,Ageclass 3
1963,Cod,4,95319000,Cod4_Nums,Ageclass 4
1963,Cod,5,99538000,Cod5_Nums,Ageclass 5
1963,Cod,6,48192000,Cod6_Nums,Ageclass 6
1963,Cod,7,58141000,Cod7_Nums,Ageclass 7
1963,Cod,8,23410000,Cod8_Nums,Ageclass 8
1963,Cod,9,9303000,Cod9_Nums,Ageclass 9
1963,Cod,10,12742000,Cod10_Nums,Ageclass 10
1963,Cod,11,2096000,Cod11_Nums,Ageclass 11
1963,Cod,12,1687000,Cod12_Nums,Ageclass 12
1963,Cod,13,2662000,Cod13_Nums,Ageclass 13
