"Time","Pinniped","Minke_Whale"
1980,33327,NA
1981,NA,NA
1982,42543,NA
1983,NA,NA
1984,NA,NA
1985,36503,NA
1986,NA,NA
1987,NA,24415
1988,NA,NA
1989,25855,NA
1990,27583,NA
1991,NA,NA
1992,23355,NA
1993,NA,NA
1994,NA,NA
1995,21336,NA
1996,NA,NA
1997,NA,NA
1998,19499,NA
1999,NA,NA
2000,NA,NA
2001,NA,43871
2002,14703,NA
2003,14703,NA
2004,NA,NA
2005,17690,NA
2006,17690,NA
2007,NA,20786
2008,18278,NA
2009,NA,9698
2010,NA,NA
2011,15478,NA
2012,15478,NA
2013,NA,NA
2014,NA,12823
2015,NA,NA
2016,13921,NA
2017,13921,NA
2018,15703,NA
2019,NA,NA
2020,16588,NA
