"Time","Cod","Codh","Codl","Haddock","Haddockh","Haddockl","Saithe","Saitheh","Saithel","Redfish","Redfishl","Redfishh","Blue_whiting","Blue_whitingh","Blue_whitingl","Greenland_Halibut","Greenland_Halibuth","Greenland_Halibutl","Capelin","Flatfish"
1955,726311,833400,626218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,583889,686574,510322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,574657,678138,513298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,690044,776053,623123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,639314,737830,566210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,583596,639593,525374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,399330,441014,367646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,505462,553779,461662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,460399,508242,419815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,420042,463182,381612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,322928,355774,295305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,295743,327820,270307,NA,NA,NA,NA,NA,NA,436244.768640351,331650.385964912,573648.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1967,280646,311142,256312,NA,NA,NA,NA,NA,NA,420830.768640351,317323.385964912,558313.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1968,248460,281777,225407,NA,NA,NA,NA,NA,NA,406773.768640351,303961.385964912,545133.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1969,354218,395065,323402,NA,NA,NA,NA,NA,NA,397044.768640351,293367.385964912,539018.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1970,354800,385319,326802,NA,NA,NA,NA,NA,NA,388598.768640351,283725.385964912,535092.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1971,252974,279336,231924,NA,NA,NA,NA,NA,NA,386924.768640351,279569.385964912,539587.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1972,225466,248054,205349,NA,NA,NA,NA,NA,NA,388893.768640351,279054.385964912,546921.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1973,244958,267432,226374,NA,NA,NA,NA,NA,NA,399911.768640351,286707.385964912,562679.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1974,188457,207167,174598,NA,NA,NA,NA,NA,NA,415231.768640351,298277.385964912,582412.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1975,174495,190969,162866,NA,NA,NA,NA,NA,NA,426283.768640351,306526.385964912,596924.099780702,NA,NA,NA,NA,NA,NA,NA,NA
1976,145143,160047,135044,NA,NA,NA,NA,NA,NA,486571.289473684,336907.552631579,666193.078947368,NA,NA,NA,NA,NA,NA,NA,NA
1977,198182,219487,184538,NA,NA,NA,NA,NA,NA,473392.289473684,325266.552631579,653248.078947368,NA,NA,NA,NA,NA,NA,NA,NA
1978,211481,235398,198558,NA,NA,NA,NA,NA,NA,481416.289473684,335900.552631579,658412.078947368,NA,NA,NA,NA,NA,NA,6e+05,NA
1979,306969,345795,290417,74593,78686,70260,NA,NA,NA,513815.289473684,368357.552631579,687031.078947368,NA,NA,NA,NA,NA,NA,3e+05,NA
1980,369391,423541,336292,92031,97387,87034,113020,123153,98856,538248.289473684,394760.552631579,706252.078947368,NA,NA,NA,NA,NA,NA,170000,9437
1981,269143,291156,247251,108184,115383,102035,119945,129763,107519,557079.289473684,417920.552631579,716950.078947368,2843799,3611014,2239591,NA,NA,NA,140000,10279
1982,178430,196097,166273,100781,107771,95450,137282,148929,125528,560404.289473684,429053.552631579,710706.078947368,2302366,2890108,1834150,NA,NA,NA,260000,12226
1983,140138,157045,131190,79235,85631,75219,137433,150981,125396,558045.289473684,434502.552631579,699216.078947368,1856506,2281099,1510944,NA,NA,NA,440000,14484
1984,149546,166679,139246,60730,65272,57457,140130,153956,126848,545069.289473684,429711.552631579,677577.078947368,1750611,2115976,1448333,NA,NA,NA,460000,15399
1985,165802,180080,155022,49712,53414,46903,138313,152062,124625,534708,429864,656207,2086876,2527512,1723059,94171,107388,89344,460000,52038
1986,192553,207648,180324,40935,44169,38271,136634,150607,123329,532409,435674,647113,2269479,2743714,1877212,65541,73233,60014,420000,72618
1987,145405,157630,136500,35169,37884,32931,128503,141014,115644,533086,444254,638630,1930865,2330768,1599576,66770,74872,58146,4e+05,58285
