Time,species,Age,numbers,.id,Ageclass,,"##one row for each species/age combination for which yuou have NAA observations. Number of age groups need not match Atlantis, but you would want to combine multiple cohorts into an age class if your Atlantis model does this"
1955,Cod,1,254498000,Cod1_Nums,Ageclass 1,,
1955,Cod,2,186563000,Cod2_Nums,Ageclass 2,,
1955,Cod,3,151953000,Cod3_Nums,Ageclass 3,,
1955,Cod,4,217539000,Cod4_Nums,Ageclass 4,,
1955,Cod,5,211871000,Cod5_Nums,Ageclass 5,,
1955,Cod,6,115461000,Cod6_Nums,Ageclass 6,,
1955,Cod,7,36062000,Cod7_Nums,Ageclass 7,,
1955,Cod,8,24597000,Cod8_Nums,Ageclass 8,,
1955,Cod,9,12976000,Cod9_Nums,Ageclass 9,,
1955,Cod,10,87905000,Cod10_Nums,Ageclass 10,,
1955,Cod,11,9237000,Cod11_Nums,Ageclass 11,,
1955,Cod,12,7845000,Cod12_Nums,Ageclass 12,,
1955,Cod,13,8178000,Cod13_Nums,Ageclass 13,,
1955,Cod,14,2656000,Cod14_Nums,Ageclass 14,,
1956,Cod,1,329342000,Cod1_Nums,Ageclass 1,,
1956,Cod,2,208365000,Cod2_Nums,Ageclass 2,,
1956,Cod,3,152745000,Cod3_Nums,Ageclass 3,,
1956,Cod,4,119527000,Cod4_Nums,Ageclass 4,,
1956,Cod,5,150235000,Cod5_Nums,Ageclass 5,,
1956,Cod,6,134756000,Cod6_Nums,Ageclass 6,,
1956,Cod,7,71884000,Cod7_Nums,Ageclass 7,,
1956,Cod,8,21833000,Cod8_Nums,Ageclass 8,,
1956,Cod,9,14872000,Cod9_Nums,Ageclass 9,,
1956,Cod,10,8014000,Cod10_Nums,Ageclass 10,,
1956,Cod,11,52160000,Cod11_Nums,Ageclass 11,,
1956,Cod,12,5481000,Cod12_Nums,Ageclass 12,,
1956,Cod,13,4727000,Cod13_Nums,Ageclass 13,,
1956,Cod,14,4852000,Cod14_Nums,Ageclass 14,,
1957,Cod,1,431205000,Cod1_Nums,Ageclass 1,,
1957,Cod,2,269643000,Cod2_Nums,Ageclass 2,,
1957,Cod,3,170595000,Cod3_Nums,Ageclass 3,,
1957,Cod,4,118843000,Cod4_Nums,Ageclass 4,,
1957,Cod,5,81564000,Cod5_Nums,Ageclass 5,,
1957,Cod,6,95866000,Cod6_Nums,Ageclass 6,,
1957,Cod,7,85220000,Cod7_Nums,Ageclass 7,,
1957,Cod,8,44060000,Cod8_Nums,Ageclass 8,,
1957,Cod,9,13203000,Cod9_Nums,Ageclass 9,,
1957,Cod,10,9076000,Cod10_Nums,Ageclass 10,,
1957,Cod,11,4668000,Cod11_Nums,Ageclass 11,,
1957,Cod,12,30004000,Cod12_Nums,Ageclass 12,,
1957,Cod,13,3217000,Cod13_Nums,Ageclass 13,,
1957,Cod,14,2782000,Cod14_Nums,Ageclass 14,,
1958,Cod,1,230254000,Cod1_Nums,Ageclass 1,,
1958,Cod,2,353041000,Cod2_Nums,Ageclass 2,,
1958,Cod,3,220765000,Cod3_Nums,Ageclass 3,,
1958,Cod,4,128780000,Cod4_Nums,Ageclass 4,,
1958,Cod,5,78490000,Cod5_Nums,Ageclass 5,,
1958,Cod,6,50796000,Cod6_Nums,Ageclass 6,,
1958,Cod,7,59830000,Cod7_Nums,Ageclass 7,,
1958,Cod,8,51670000,Cod8_Nums,Ageclass 8,,
1958,Cod,9,35182000,Cod9_Nums,Ageclass 9,,
1958,Cod,10,7799000,Cod10_Nums,Ageclass 10,,
1958,Cod,11,5176000,Cod11_Nums,Ageclass 11,,
1958,Cod,12,2661000,Cod12_Nums,Ageclass 12,,
1958,Cod,13,17674000,Cod13_Nums,Ageclass 13,,
1958,Cod,14,1960000,Cod14_Nums,Ageclass 14,,
1959,Cod,1,287828000,Cod1_Nums,Ageclass 1,,
1959,Cod,2,188516000,Cod2_Nums,Ageclass 2,,
1959,Cod,3,289046000,Cod3_Nums,Ageclass 3,,
1959,Cod,4,161218000,Cod4_Nums,Ageclass 4,,
1959,Cod,5,82243000,Cod5_Nums,Ageclass 5,,
1959,Cod,6,47522000,Cod6_Nums,Ageclass 6,,
1959,Cod,7,31103000,Cod7_Nums,Ageclass 7,,
1959,Cod,8,35448000,Cod8_Nums,Ageclass 8,,
1959,Cod,9,51470000,Cod9_Nums,Ageclass 9,,
1959,Cod,10,19371000,Cod10_Nums,Ageclass 10,,
1959,Cod,11,4123000,Cod11_Nums,Ageclass 11,,
1959,Cod,12,2726000,Cod12_Nums,Ageclass 12,,
1959,Cod,13,1486000,Cod13_Nums,Ageclass 13,,
1959,Cod,14,10504000,Cod14_Nums,Ageclass 14,,
1960,Cod,1,192354000,Cod1_Nums,Ageclass 1,,
1960,Cod,2,235654000,Cod2_Nums,Ageclass 2,,
1960,Cod,3,154344000,Cod3_Nums,Ageclass 3,,
1960,Cod,4,216102000,Cod4_Nums,Ageclass 4,,
1960,Cod,5,104535000,Cod5_Nums,Ageclass 5,,
1960,Cod,6,50770000,Cod6_Nums,Ageclass 6,,
1960,Cod,7,30105000,Cod7_Nums,Ageclass 7,,
1960,Cod,8,18889000,Cod8_Nums,Ageclass 8,,
1960,Cod,9,20630000,Cod9_Nums,Ageclass 9,,
1960,Cod,10,37503000,Cod10_Nums,Ageclass 10,,
1960,Cod,11,10652000,Cod11_Nums,Ageclass 11,,
1960,Cod,12,2307000,Cod12_Nums,Ageclass 12,,
1960,Cod,13,1623000,Cod13_Nums,Ageclass 13,,
1960,Cod,14,970000,Cod14_Nums,Ageclass 14,,
1961,Cod,1,264724000,Cod1_Nums,Ageclass 1,,
1961,Cod,2,157486000,Cod2_Nums,Ageclass 2,,
1961,Cod,3,192937000,Cod3_Nums,Ageclass 3,,
1961,Cod,4,114256000,Cod4_Nums,Ageclass 4,,
1961,Cod,5,140124000,Cod5_Nums,Ageclass 5,,
1961,Cod,6,63725000,Cod6_Nums,Ageclass 6,,
1961,Cod,7,31045000,Cod7_Nums,Ageclass 7,,
1961,Cod,8,17577000,Cod8_Nums,Ageclass 8,,
1961,Cod,9,10390000,Cod9_Nums,Ageclass 9,,
1961,Cod,10,11004000,Cod10_Nums,Ageclass 10,,
1961,Cod,11,19076000,Cod11_Nums,Ageclass 11,,
1961,Cod,12,5429000,Cod12_Nums,Ageclass 12,,
1961,Cod,13,1286000,Cod13_Nums,Ageclass 13,,
1961,Cod,14,1016000,Cod14_Nums,Ageclass 14,,
1962,Cod,1,304135000,Cod1_Nums,Ageclass 1,,
1962,Cod,2,216738000,Cod2_Nums,Ageclass 2,,
