Time,Cod,Haddock,Saithe,Redfish,##one column for each species for hwhich you have SSB estimates
1955,726287,NA,NA,NA,
1956,583865,NA,NA,NA,
1957,574634,NA,NA,NA,
1958,690021,NA,NA,NA,
1959,639289,NA,NA,NA,
1960,583577,NA,NA,NA,
1961,399325,NA,NA,NA,
1962,505488,NA,NA,NA,
1963,460458,NA,NA,NA,
1964,420077,NA,NA,NA,
1965,322929,NA,NA,NA,
1966,295716,NA,NA,NA,
1967,280608,NA,NA,NA,
1968,248437,NA,NA,NA,
1969,354205,NA,NA,NA,
1970,354810,NA,NA,NA,
1971,253013,NA,NA,454084.4323,
1972,225481,NA,NA,442731.4323,
1973,244958,NA,NA,447280.4323,
1974,188447,NA,NA,463132.4323,
1975,174471,NA,NA,478297.4323,
1976,145135,NA,NA,489182.4323,
1977,198192,NA,NA,477192.4323,
1978,211522,NA,NA,505266.4323,
1979,307151,74568,NA,541384.4323,
1980,369493,92018,113844,555139.4323,
1981,268949,108179,120803,557272.4323,
1982,178333,100806,137948,545057.4323,
1983,140074,79279,137885,502197.4323,
1984,149501,60773,140591,472939.4323,
1985,165679,49747,138908,440352.1429,
1986,192296,40975,137191,421217.1429,
1987,145121,35198,128893,400389.1429,
1988,160566,53200,125932,372213.1429,
1989,162074,81223,129370,338343.1429,
1990,197937,85529,136640,318592.1429,
1991,156179,67120,146412,296183.1429,
1992,142297,49225,137968,282625.1429,
1993,114903,56497,114293,267008.1429,
1994,152802,71976,94886,257366.1429,
1995,174584,68194,71030,253618.1429,
1996,158421,53541,62499,250758.1429,
1997,192365,46584,63747,256261.1429,
1998,201138,50965,70538,262372.1429,
1999,176040,48232,75485,266300.1429,
2000,161451,47316,77980,303310,
2001,158282,55197,85582,332807,
2002,190365,81246,103865,271216,
2003,186811,127748,128421,238004,
2004,193412,154242,148710,275206,
2005,221675,139999,159450,297740,
2006,212724,112472,167787,315773,
2007,196537,129477,163771,280063,
2008,246662,129398,162159,295402,
2009,226776,113840,150028,320437,
2010,255878,89588,138308,324970,
2011,313000,77594,128618,368789.1429,
2012,346497,76375,123151,366435,
